Engine,No. of Cylinders,Drive Type,Transmission,Fuel Type,Engine Type,Valves Per Cylinder,Power
1462 cc,4.0,FWD,Automatic,Petrol,K15B Smart Hybrid,4.0,103.25 bhp
999 cc,3.0,,Manual,Petrol,1.0L TSI,4.0,113.98 bhp
1798 cc,4.0,FWD,Automatic,Petrol,1.8TSI Petrol Engine,4.0,178 bhp
1197 cc,3.0,,Manual,Petrol,1.2L Petrol,4.0,108.62 bhp
1498 cc,4.0,FWD,Manual,Diesel,1.5 L Diesel Engine,4.0,99.23 bhp
1498 cc,4.0,,Manual,Petrol,VTi-TECH,4.0,108.49 bhp
2487 cc,4.0,RWD,Automatic,Petrol,A25B-FXS,4.0,175.67 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDCi Diesel Engine,4.0,98.96 bhp
1197 cc,3.0,FWD,Manual,Petrol,1.2 Petrol Engine,4.0,110 bhp
1995 cc,4.0,4WD,Automatic,Petrol,2.0L GME T4,4.0,268.27 bhp
1353 cc,4.0,2WD,Manual,Petrol,,4.0,138 bhp
1493 cc,4.0,FWD,Manual,Diesel,1.5 L CRDi WGT,4.0,98.63 bhp
1199 cc,4.0,,Manual,Petrol,1.2 i-VTEC,4.0,88.50 bhp
1197 cc,4.0,FWD,Manual,Petrol,Kappa VTVT Petrol Engine,4.0,81.86 bhp
1197 cc,4.0,FWD,Manual,Petrol,K12M Petrol Engine,4.0,81.80 bhp
1199 cc,3.0,FWD,Manual,Petrol,Revotron Engine,4.0,83.81 bhp
2993 cc,6.0,4WD,Automatic,Diesel,TwinPower Turbo 6-cylinder engine,4.0,261.50 bhp
1498 cc,4.0,,Manual,Petrol,Water Cooled Inline i-VTEC DOHC with VTC,4.0,119.35 bhp
1482 cc,4.0,FWD,Manual,Petrol,1.5l Turbo GDi,4.0,158 bhp
1493 cc,4.0,2WD,Manual,Diesel,Smartstream G1.5,4.0,113.42 bhp
999 cc,3.0,,Automatic,Petrol,1.0L TSI,4.0,113.98 bhp
1493 cc,4.0,FWD,Automatic,Diesel,1.5 L CRDi VGT,4.0,113.43 bhp
1956 cc,4.0,4X2,Manual,Diesel,2.0-Litre 4-Cyl Multijet,4.0,170 bhp
1999 cc,4.0,RWD,Automatic,Petrol,Petrol Engine,4.0,237.4 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0 TSI Petrol Engine,4.0,113.98 bhp
1462 cc,4.0,FWD,Manual,Petrol,K15C,4.0,101.64 bhp
1498 cc,4.0,,Automatic,Petrol,VTi-TECH,4.0,108.49 bhp
1451 cc,4.0,FWD,Automatic,Petrol,1.5 L Turbocharged Intercooled,4.0,141 bhp
1199 cc,3.0,,Manual,Petrol,1.2l Turbocharged Revotron Engine,4.0,118.35 bhp
998 cc,3.0,2WD,Automatic,Petrol,Smartstream G1.0 T - GDi,4.0,118.35 bhp
2179 cc,4.0,RWD,Automatic,Diesel,Diesel Engine,4.0,187.7 bhp
1199 cc,3.0,,Automatic,Petrol,1.2l Turbocharged Revotron Engine,4.0,118.36 bhp
1199 cc,3.0,FWD,Automatic,Petrol,1.2L Turbocharged Revotron,4.0,118.27 bhp
1998 cc,4.0,2WD,Automatic,Petrol,Petrol Engine,4.0,189.08 bhp
1493 cc,4.0,2WD,Automatic,Diesel,1.5 L CRDi VGT,4.0,114.41 bhp
1497 cc,4.0,2WD,Manual,Diesel,1.5L CRDi VGT,4.0,114.41 bhp
1798 cc,4.0,FWD,Automatic,Petrol,Petrol Engine,4.0,177.46 bhp
2179 cc,4.0,FWD,Manual,Diesel,mHawk Diesel Engine,4.0,140 bhp
1368 cc,4.0,4x2,Automatic,Petrol,1.4L MultiAir Petrol,4.0,160.77 bhp
1368 cc,4.0,4X2,Automatic,Petrol,1.4-Litre 4-Cyl Multiair,4.0,160.77 bhp
1493 cc,4.0,2WD,Automatic,Diesel,1.5 T-CRDi VGT,4.0,114.41 bhp
1493 cc,4.0,2WD,Automatic,Diesel,1.5 T-GRDi VGT,4.0,114.41 bhp
1956 cc,4.0,4X4,Automatic,Diesel,2.0-Litre 4-Cyl Multijet II Engine,4.0,170.63 bhp
1997 cc,4.0,RWD,Manual,Petrol,mStallion (TGDi),4.0,200 bhp
1956 cc,4.0,,Automatic,Diesel,Kryotec 2.0 L Turbocharged Engine,4.0,167.67 bhp
1956 cc,4.0,4x2,Manual,Diesel,2.0L Multijet Diesel,4.0,167.67 bhp
1956 cc,4.0,4X2,Manual,Diesel,2.0-Litre 4-Cyl Multijet,4.0,170.63 bhp
1969 cc,4.0,,Automatic,Petrol,,4.0,190 bhp
1999 cc,4.0,,Automatic,Petrol,,4.0,150.19 bhp
1498 cc,4.0,FWD,Manual,Petrol,1.5L TSI EVO with ACT,4.0,147.51 bhp
1956 cc,4.0,,Automatic,Diesel,Multijet II Turbo Diesel Engine,4.0,
1956 cc,4.0,FWD,Manual,Diesel,2.0 L Turbocharged Diesel,4.0,167.68 bhp
2198 cc,4.0,RWD,Automatic,Diesel,Diesel Engine,4.0,158 bhp
1984 cc,4.0,AWD,Automatic,Petrol,2.0 TSI,4.0,187.74 bhp
1995 cc,4.0,4WD,Automatic,Diesel,xDrive20d Diesel Engine,4.0,190 bhp
799 cc,3.0,FWD,Manual,Petrol,Petrol Engine,4.0,53.3 bhp
2993 cc,6.0,AWD,Automatic,Diesel,Diesel Engine,4.0,258 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0 SCe,4.0,67.06 bhp
1461 cc,4.0,FWD,Manual,Diesel,In-Line Diesel Engine,2.0,63.1 bhp
1995 cc,4.0,RWD,Automatic,Diesel,TwinPower Turbo 4-Cylinde,4.0,188 bhp
1497 cc,4.0,FWD,Automatic,Petrol,SMARTSTREAM G1.5,4.0,113.43 bhp
1497 cc,3.0,FWD,Automatic,Petrol,Ti-VCT Petrol Engine,4.0,121 bhp
796 cc,3.0,FWD,Manual,Petrol,F8D Petrol Engine,4.0,47.3 bhp
2179 cc,4.0,AWD,Automatic,Diesel,2.2 LTR. VARICOR 400,4.0,153.86 bhp
2179 cc,4.0,FWD,Manual,Diesel,mHawk155 Diesel Engine,4.0,152.87 bhp
814 cc,3.0,RWD,Manual,Petrol,800 L SOHC 3 Cylinder,3.0,
1497 cc,4.0,FWD,Manual,Diesel,CRDi,4.0,115.05 bhp
1968 cc,4.0,FWD,Automatic,Diesel,Turbocharged Diesel Engin,4.0,138.1 bhp
1373 cc,4.0,FWD,Manual,Petrol,k14B VVT Engine,4.0,91.1 bhp
2143 cc,4.0,RWD,Automatic,Diesel,In-Line Diesel Engine,4.0,204 bhp
1461 cc,4.0,,Manual,Diesel,K9K dCi Diesel Engine,4.0,108.45 bhp
998 cc,3.0,FWD,Manual,Petrol,K Series Petrol Engine,4.0,67.05 bhp
1198 cc,3.0,FWD,Automatic,Petrol,In Line Petrol Engine,4.0,75.94 bhp
1198 cc,4.0,FWD,Manual,Petrol,i-VTEC Petrol Engine,4.0,86.7 bhp
1968 cc,4.0,AWD,Automatic,Diesel,TDI Quattro Diesel Engine,4.0,174.33 bhp
1198 cc,4.0,FWD,Manual,Petrol,i-VTEC Engine,4.0,86.8 bhp
1197 cc,4.0,FWD,Automatic,Petrol,1.2-Litre VVT Petrol Engi,4.0,81.80 bhp
1968 cc,4.0,AWD,Automatic,Diesel,TDI Diesel Engine,4.0,174.33 bhp
1462 cc,4.0,FWD,Manual,Petrol,K15B Smart Hybrid,4.0,103.25 bhp
1199 cc,3.0,,Manual,Petrol,1.2L Revotron Engine,4.0,84.82 bhp
1396 cc,4.0,FWD,Manual,Diesel,U2 CRDI Diesel Engine,4.0,88.76 bhp
1999 cc,4.0,FWD,Automatic,Petrol,mSTALLION,4.0,197 bhp
1197 cc,4.0,FWD,Automatic,Petrol,K Series VVT Engine,4.0,81.80 bhp
1086 cc,4.0,FWD,Manual,Petrol,IRDE2 Engine,3.0,68.05 bhp
998 cc,3.0,FWD,Manual,Petrol,K10B Engine,4.0,67.05 bhp
1199 cc,4.0,FWD,Automatic,Petrol,i-VTEC Petrol Engine,4.0,88.76 bhp
1199 cc,3.0,FWD,Automatic,Petrol,Revotron Engine,4.0,83.83 bhp
1199 cc,3.0,FWD,Automatic,Petrol,Revotron Engine,4.0,83.81 bhp
1999 cc,4.0,2WD,Automatic,Petrol,Dual VTVT Nu 2.0 Petrol,4.0,152.88 bhp
1198 cc,4.0,FWD,Automatic,Petrol,i-VTEC Engine,4.0,86.8 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDiS 200 Diesel Engine,4.0,88.5 bhp
2596 cc,4.0,4WD,Manual,Diesel,FM 2.6L CRDi,4.0,138 bhp
1197 cc,4.0,FWD,Manual,Petrol,K12N,4.0,88.50 bhp
1197 cc,4.0,FWD,Manual,Petrol,In-Line Engine,4.0,
1197 cc,4.0,FWD,Automatic,Petrol,Kappa VTVT Petrol Engine,4.0,82 bhp
1999 cc,4.0,FWD,Automatic,Petrol,2.0L Turbo Petrol,4.0,197.13 bhp
1499 cc,4.0,FWD,Automatic,Petrol,Ti-VCT Petrol Engine,4.0,110 bhp
1493 cc,3.0,RWD,Manual,Diesel,mHawk 100 Diesel Engine,2.0,100 bhp
1193 cc,4.0,FWD,Manual,Petrol,Revotron Engine,2.0,88.7 bhp
1498 cc,4.0,FWD,Manual,Diesel,i-DTEC Diesel Engine,4.0,98.6 bhp
1396 cc,4.0,,Manual,Diesel,Diesel Engine,4.0,
999 cc,3.0,FWD,Manual,Petrol,Ecoboost Petrol Engine,4.0,123.24 bhp
998 cc,3.0,FWD,Manual,Petrol,K10B Petrol Engine,4.0,67.04 bhp
1198 cc,4.0,FWD,Manual,Petrol,In-Line Diesel Engine,2.0,63.1 bhp
2179 cc,4.0,FWD,Manual,Diesel,mHawk Diesel Engine,4.0,152.87 bhp
1198 cc,3.0,FWD,Manual,Petrol,mFALCON G80 Engine,4.0,82 bhp
1197 cc,4.0,FWD,Manual,Petrol,Kappa VTVT Petrol Engine,4.0,82 bhp
998 cc,3.0,FWD,Automatic,Petrol,K10B Engine,4.0,67.04 bhp
1497 cc,4.0,FWD,Manual,Petrol,i VTEC Engine,4.0,117.6 bhp
1598 cc,4.0,FWD,Manual,Petrol,MPI Petrol Engine,4.0,103.2 bhp
2143 cc,4.0,AWD,Automatic,Diesel,Diesel Engine,4.0,136 bhp
1199 cc,3.0,,Automatic,Petrol,1.2l Turbocharged Revotron Engine,4.0,118.35 bhp
1199 cc,4.0,FWD,Manual,Petrol,i-VTEC Petrol Engine,4.0,88.7 bhp
1196 cc,4.0,FWD,Manual,Petrol,Ti-VCT Petrol Engine,4.0,86.8 bhp
2179 cc,4.0,AWD,Manual,Diesel,mHawk Diesel Engine,4.0,140 bhp
1197 cc,4.0,FWD,Automatic,Petrol,1.2 l Kappa,4.0,87 bhp
1197 cc,4.0,FWD,Manual,Petrol,1.2 L Petrol Engine,4.0,88.50 bhp
1197 cc,4.0,,Automatic,Petrol,,4.0,88.50 bhp
999 cc,3.0,,Manual,Petrol,,4.0,71.01 bhp
1591 cc,4.0,FWD,Automatic,Petrol,VTVT Petrol Engine,4.0,121.3 bhp
1199 cc,4.0,FWD,Manual,Petrol,i-VTEC Petrol Engine,4.0,88.76 bhp
1199 cc,3.0,,Manual,Petrol,1.2l Turbocharged Revotron Engine,4.0,118.36 bhp
2359 cc,4.0,FWD,Automatic,Petrol,GDi Petrol Engine,4.0,198.25 bhp
1497 cc,4.0,2WD,Manual,Petrol,1.5 L MPi Petrol,4.0,113.18 bhp
1197 cc,4.0,FWD,Automatic,Petrol,TSI Petrol Engine,4.0,103.5 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0 B4D,4.0,71 bhp
999 cc,3.0,,Automatic,Petrol,,4.0,71.01 bhp
1196 cc,4.0,Front Wheel Drive,Manual,Petrol,Petrol Engine,4.0,70 bhp
1586 cc,4.0,FWD,Manual,Petrol,VVT Petrol Engine,4.0,103.3 bhp
,,FWD,Automatic,Electric,,,174.33 bhp
998 cc,3.0,FWD,Manual,Petrol,K10C,4.0,65.71 bhp
1498 cc,4.0,FWD,Automatic,Diesel,Turbocharged Diesel Engin,4.0,103.6 bhp
1248 cc,4.0,FWD,Automatic,Diesel,DDiS Diesel Engine,4.0,74 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDiS Diesel Engine,4.0,74 bhp
2393 cc,4.0,RWD,Manual,Diesel,2-GD FTV Engine,4.0,147.8 bhp
624 cc,2.0,RWD,Manual,Petrol,Petrol Engine,2.0,37.5 bhp
998 cc,3.0,FWD,Automatic,Petrol,K10C,4.0,67.77 bhp
2698 cc,6.0,FWD,Automatic,Diesel,V-Type Engine,4.0,
1197 cc,4.0,,Manual,Petrol,VVT,4.0,81.80 bhp
1497 cc,3.0,FWD,Manual,Petrol,Ti-VCT Petrol Engine,4.0,121.36 bhp
1198 cc,3.0,FWD,Manual,Petrol,MPI Petrol Engine,4.0,73.75 bhp
1497 cc,4.0,,Manual,Petrol,In-Line Engine,2.0,
1197 cc,4.0,FWD,Manual,Petrol,VTVT Petrol Engine,4.0,81.86 bhp
998 cc,3.0,FWD,Automatic,Petrol,K10B Petrol Engine,4.0,67 bhp
1497 cc,4.0,FWD,Manual,Petrol,i VTEC Engine,4.0,117.3 bhp
1197 cc,4.0,FWD,Manual,Petrol,K Series VVT Engine,4.0,85.8 bhp
998 cc,3.0,FWD,Automatic,Petrol,K Series Petrol Engine,4.0,67.05 bhp
1197 cc,4.0,FWD,Automatic,Petrol,Turbocharged Petrol Engin,4.0,103.6 bhp
1197 cc,4.0,,Manual,Petrol,K12N,4.0,88.50 bhp
998 cc,3.0,FWD,Manual,Petrol,K10B Petrol Engine,4.0,67.05 bhp
1461 cc,4.0,FWD,Manual,Diesel,dCi Diesel Engine,4.0,108.45 bhp
1197 cc,4.0,FWD,Manual,Petrol,Kappa VTVT Petrol Engine,4.0,82.85 bhp
,,RWD,Automatic,Electric,,,41.42 bhp
1799 cc,4.0,FWD,Automatic,Petrol,In-Line Engine,4.0,130 bhp
1950 cc,4.0,AWD,Automatic,Diesel,V Type Engine,4.0,241.38 bhp
1197 cc,4.0,,Manual,Petrol,In-Line Engine,4.0,
998 cc,3.0,FWD,Automatic,Petrol,K10B Engine,4.0,67.05 bhp
1197 cc,3.0,FWD,Automatic,Petrol,mStallion (TGDi) engine,4.0,128.73 bhp
2360 cc,4.0,All Wheel Drive,Automatic,Petrol,Petrol,4.0,
1197 cc,4.0,FWD,Manual,Petrol,DOHC Kappa2 Engine,4.0,78.9 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDCi Diesel Engine,2.0,98.59 bhp
1499 cc,4.0,FWD,Manual,Petrol,Ti-VCT Petrol Engine,4.0,110 bhp
1956 cc,4.0,FWD,Automatic,Diesel,Kryotec 2.0L,4.0,167.62 bhp
1984 cc,4.0,FWD,Automatic,Petrol,2.0 L TSI Petrol Engine,4.0,187.74 bhp
2982 cc,4.0,FWD,Manual,Diesel,D-4D Diesel Engine,4.0,168.5 bhp
2393 cc,4.0,RWD,Automatic,Diesel,2.4L Diesel Engine,4.0,148 bhp
1493 cc,4.0,,Manual,Diesel,1.5 L U2 CRDi Diesel,4.0,113.45 bhp
1987 cc,4.0,FWD,Automatic,Petrol,2.0 TNGA 5th Generation In-Line VVTi,4.0,183.72 bhp
2393 cc,7.0,RWD,Manual,Diesel,2-GD FTV Engine,4.0,147.8 bhp
1396 cc,4.0,FWD,Automatic,Petrol,In-Line Engine,4.0,
,,FWD,Automatic,Electric,,,120.69 bhp
998 cc,3.0,FWD,Automatic,Petrol,Smartstream G1.0 T - GDi,4.0,118.36 bhp
1248 cc,4.0,FWD,Manual,Diesel,D13A SHVS Engine,4.0,88.5 bhp
1591 cc,4.0,FWD,Manual,Petrol,VTVT Petrol Engine,4.0,121.3 bhp
1396 cc,4.0,FWD,Manual,Diesel,U2 CRDI Engine,4.0,88.7 bhp
1490 cc,3.0,FWD,Automatic,Petrol,M15D With Strong Hybrid,4.0,91.18 bhp
2143 cc,4.0,FWD,Automatic,Diesel,In Line Diesel Engine,4.0,136 bhp
1999 cc,4.0,RWD,Automatic,Petrol,Petrol Engine,4.0,246.74 bhp
1997 cc,4.0,4WD,Automatic,Petrol,mStallion 150 TGDi,4.0,150.19 bhp
1991 cc,4.0,,Manual,Diesel,"4 Cylinder, VCDi",4.0,147.9 bhp
799 cc,3.0,FWD,Manual,Petrol,0.8L Petrol Engine,4.0,53.64 bhp
1493 cc,4.0,,Manual,Diesel,1.5 l U2 CRDi diesel,4.0,113.45 bhp
1199 cc,4.0,FWD,Manual,Petrol,i-VTEC,4.0,88.50 bhp
1198 cc,3.0,2WD,Manual,Petrol,mFALCON G80,4.0,82 bhp
796 cc,3.0,FWD,Manual,Petrol,In-Line Engine,4.0,46.3 bhp
998 cc,3.0,FWD,Automatic,Petrol,1.0 l Kappa Turbo,4.0,118 bhp
1462 cc,4.0,FWD,Automatic,Petrol,K15 Smart Hybrid,4.0,103.26 bhp
796 cc,3.0,FWD,Manual,Petrol,F8D,4.0,47.33 bhp
1493 cc,4.0,FWD,Manual,Diesel,U2 CRDi Diesel,4.0,98.6 bhp
1798 cc,4.0,FWD,Manual,Petrol,2ZR-FE Petrol Engine,4.0,138.03 bhp
814 cc,3.0,FWD,Manual,Petrol,Petrol Engine,3.0,55.2 bhp
1172 cc,4.0,FWD,Manual,Petrol,FIRE Engine,2.0,67 bhp
998 cc,3.0,FWD,Manual,Petrol,K Series Petrol Engine,4.0,67.1 bhp
1198 cc,3.0,FWD,Manual,Petrol,In Line Petrol Engine,4.0,75 bhp
799 cc,3.0,2WD,Manual,Petrol,0.8L Petrol Engine,4.0,53.64 bhp
1248 cc,4.0,FWD,Manual,Diesel,MULTIJET Engine,4.0,75 bhp
1996 cc,4.0,4WD,Automatic,Diesel,DIESEL 2.0L TWIN TURBO,4.0,212.55 bhp
1999 cc,4.0,RWD,Automatic,Petrol,,4.0,325.48 bhp
1498 cc,4.0,FWD,Manual,Petrol,H4K Petrol Engine,4.0,104.55 bhp
998 cc,3.0,,Manual,Petrol,1.0 l Turbo GDi petrol,4.0,118.36 bhp
1197 cc,3.0,FWD,Manual,Petrol,1.2L Turbo Petrol,4.0,108.6 bhp
1497 cc,4.0,FWD,Manual,Diesel,1.5 Diesel Engine,4.0,115 bhp
1498 cc,4.0,,Automatic,Petrol,1.5L TSI EVO with ACT,4.0,147.51 bhp
1462 cc,4.0,,Manual,Petrol,k-series1.5l,4.0,103.26 bhp
1997 cc,4.0,FWD,Manual,Diesel,mHawk Diesel Engine,4.0,140 bhp
1493 cc,4.0,FWD,Manual,Diesel,SMARTSTREAM G1.2,4.0,81.86 bhp
1197 cc,4.0,FWD,Manual,Petrol,Kappa 1.2 L MPi Petrol,4.0,81.86 bhp
1198 cc,3.0,FWD,Manual,Petrol,Revotron 1.2L Turbocharge,4.0,108.5 bhp
1493 cc,3.0,RWD(with MTT),Manual,Diesel,mHAWk100,4.0,100 bhp
1199 cc,3.0,,Manual,Petrol,1.2 L Revotron,4.0,84.82 bhp
1493 cc,4.0,FWD,Manual,Diesel,1.5 l U2,4.0,114 bhp
1498 cc,4.0,FWD,Manual,Diesel,i DTEC Diesel Engine,4.0,97.9 bhp
1496 cc,3.0,FWD,Manual,Petrol,1.5 L Petrol Engine,4.0,120.69 bhp
1496 cc,3.0,FWD,Automatic,Petrol,1.5 L Petrol Engine,4.0,120.69 bhp
998 cc,3.0,FWD,Manual,Petrol,Kappa 1.0 L Turbo GDi Petrol,4.0,118.35 bhp
1956 cc,4.0,4X4,Manual,Diesel,2.0-Litre 4-Cyl Multijet,4.0,170 bhp
1461 cc,4.0,FWD,Manual,Diesel,K9K Diesel Engine,4.0,83.14 bhp
1197 cc,3.0,,Automatic,Petrol,1.2L Petrol,4.0,108.62 bhp
1462 cc,4.0,FWD,Manual,Petrol,K15B Smart Hybrid,4.0,103.2 bhp
1497 cc,4.0,FWD,Manual,Diesel,"Revotorq, 1.5L Turbocharg",4.0,108.5 bhp
1498 cc,4.0,FWD,Manual,Diesel,i DTEC Diesel Engine,4.0,98.6 bhp
2179 cc,4.0,4WD,Manual,Diesel,2.2 LTR. VARICOR 400,4.0,153.86 bhp
1197 cc,4.0,FWD,Manual,Petrol,1.2 l Kappa,4.0,81.8 bhp
1199 cc,3.0,FWD,Manual,Petrol,1.2L Revotron,4.0,85 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDIS 200 Engine,4.0,88.5 bhp
1498 cc,4.0,FWD,Manual,Diesel,DDiS 225 Diesel Engine,4.0,93.87 bhp
1493 cc,4.0,FWD,Automatic,Diesel,1.5L CRDi VGT,4.0,114 bhp
999 cc,3.0,FWD,Automatic,Petrol,Petrol Engine,4.0,67 bhp
2994 cc,6.0,AWD,Automatic,Petrol,3.0 L V6 TFSI Petrol engine,4.0,348.66 bhp
1497 cc,4.0,FWD,Manual,Petrol,SOHC i-VTEC,4.0,116.3 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDiS Diesel Engine,4.0,88.8 bhp
1968 cc,4.0,FWD,Automatic,Diesel,TDI Diesel Engine,4.0,174.33 bhp
1999 cc,4.0,FWD,Automatic,Petrol,mStallion,4.0,197 bhp
1591 cc,4.0,,Automatic,Petrol,VTVT Petrol Engine,4.0,121.3 bhp
1353 cc,4.0,FWD,Automatic,Petrol,Smartstream G1.4,4.0,138.08 bhp
1461 cc,4.0,FWD,Manual,Diesel,1.5L 16 Valve Diesel Engi,4.0,84 bhp
1197 cc,4.0,FWD,Automatic,Petrol,DOHC Kappa2 Engine,4.0,78.9 bhp
2953 cc,4.0,FWD,Automatic,Diesel,TDCi Diesel Engine,4.0,153.86 bhp
1999 cc,4.0,FWD,Automatic,Petrol,2.0 L Beta II I4,4.0,153.81 bhp
1462 cc,4.0,FWD,Automatic,Petrol,K15C With Mild Hybrid System,4.0,101.64 bhp
1451 cc,4.0,,Automatic,Petrol,1.5L Turbocharged Intercooled,4.0,141 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L TSI,4.0,113.98 bhp
1493 cc,4.0,,Manual,Diesel,1.5 l diesel CRDi engine,4.0,113.42 bhp
1353 cc,4.0,2WD,Automatic,Petrol,Smartstream G1.4 T-GDi,4.0,138.05 bhp
1497 cc,4.0,,Manual,Diesel,1.5L Turbo Diesel with CRDi,4.0,115.05 bhp
1197 cc,4.0,FWD,Manual,Petrol,1.2 l Kappa,4.0,82 bhp
1462 cc,4.0,,Manual,Petrol,K15C Smart Hybrid,4.0,101.65 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0L TSI,4.0,113.98 bhp
1451 cc,4.0,FWD,Manual,Petrol,1.5 L Turbocharged Intercooled,4.0,141 bhp
998 cc,3.0,FWD,Automatic,Petrol,1.0L Turbo Boosterjet,4.0,98.69 bhp
1482 cc,4.0,FWD,Manual,Petrol,Smartstream T-GDi,4.0,157.81 bhp
1498 cc,4.0,FWD,Manual,Petrol,i-VTEC,4.0,119.35 bhp
1451 cc,4.0,FWD,Automatic,Petrol,,4.0,141 bhp
998 cc,3.0,FWD,Automatic,Petrol,Smartstream G1.0 T-GDi,4.0,118.36 bhp
1353 cc,4.0,2WD,Automatic,Petrol,,4.0,138 bhp
